frameID,BVH,gBuffer,shadowMask,lighting,copy
468,0.0012416,9.03432,6.21514,1.7111,0.130707
469,0.0012672,9.43582,6.35034,1.8132,0.131315
470,0.0012864,9.74899,6.10168,1.61677,0.116141
471,0.0012736,8.88186,6.2042,1.82527,0.136691
472,0.0012608,9.55959,6.16369,1.64483,0.119123
473,0.0019072,9.39955,5.94828,1.55802,0.113146
474,0.0012352,9.11834,6.03777,1.78958,0.129946
475,0.0012672,9.27699,6.07439,1.74585,0.121152
476,0.0012736,9.16212,5.90902,1.53627,0.112352
477,0.0012608,9.46154,5.80531,1.58904,0.108358
478,0.0012736,8.62589,5.80725,1.72269,0.112403
479,0.0012672,8.8857,5.91861,1.77081,0.120685
480,0.0012608,9.55708,6.06623,1.71449,0.110746
481,0.0012352,9.76464,6.01437,1.52195,0.134131
482,0.00128,9.46719,6.45856,1.78696,0.1232
483,0.001344,9.57497,6.50226,1.56081,0.10281
484,0.0012928,9.18803,6.28723,1.75468,0.117146
485,0.0012288,8.04234,6.03549,1.81368,0.124602
486,0.0012736,6.89391,5.69925,1.65412,0.107834
487,0.0012672,6.53146,5.58644,1.67023,0.113146
488,0.00128,5.8551,5.62916,1.60872,0.148128
489,0.00128,5.62675,5.59855,1.61962,0.0984128
490,0.001248,5.69382,5.50759,1.5989,0.11209
491,0.0012864,5.9092,5.51768,1.63318,0.106803
492,0.0012864,6.10607,5.40543,1.63926,0.103859
493,0.0012736,6.17167,5.42687,1.65276,0.107187
494,0.00128,6.81166,5.52513,1.63323,0.10567
495,0.0012992,7.73116,5.4842,1.49516,0.103802
496,0.00128,7.22721,5.88218,1.74726,0.117357
